ID,Tweet,Affect_Dimension,Intensity_Score,Cleaned_Tweet
2017-En-30153,@liamch88 yeah! :) playing well ,valence,0.6,yeah playing well
2017-En-40929,At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,valence,0.484,at least i dont have a guy trying to discourage me anymore in what i want to do he will never become anything worth contributing to society
2017-En-22012,UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!,valence,0.563,uplift if youre still discouraged it means youre listening to the wrong voices looking to the wrong source look to the lord
2017-En-30837,"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",valence,0.45,at your age the heyday in the blood is tame
2017-En-30838,i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,valence,0.233,i was so embarrassed when she saw us i was like knvfkkjg she thinks were stalkers n then she starts waving all cheerfully inviting us in 😩
2017-En-41019,"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma",valence,0.214,really planned on making videos this week then a tv died phone broke truck died took over im wondering what i did karma
2017-En-20210,I hate having ideas but being too afraid to share them 😔,valence,0.138,i hate having ideas but being too afraid to share them 😔
2017-En-30568,"At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at",valence,0.648,at the regular cheerfulness of any emotion her own supper and to give the ladies were soon as they have been entirely at
2017-En-41186,"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",valence,0.641,a pessimist sees the difficulty in every opportunity an optimist sees the opportunity in every difficulty sir winston churchill
2017-En-41215,Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost  @coldplay,valence,0.242,just because im hurting ndoesnt mean im hurt ndoesnt mean i didnt get nwhat i deserved nno better and no worse
2017-En-10358,@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,valence,0.25,i cancelled by cbs all access live feeds before jc even said vic won afp paulshould have won imo
2017-En-30926,For what a beautiful day. ,valence,0.672,for what a beautiful day
2017-En-31186,We have been a better second half team this season. So there's that. ,valence,0.55,we have been a better second half team this season so theres that
2017-En-40689,"Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland",valence,0.5,back to forest drama nfrom my series n
2017-En-41406,@rclemmons much #sadness and #heartbreak,valence,0.167,much and
2017-En-21080,"I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa Parks #quotes #motivation",valence,0.565,i have learned over the years that when ones mind is made up this diminishes fear –rosa parks
2017-En-20939,"Walk right through them! See way past them, and don't even hesitate running them over.",valence,0.536,walk right through them see way past them and dont even hesitate running them over
2017-En-31477,@crazace76 it looks cool and animated well for pixel art !,valence,0.75,it looks cool and animated well for pixel art
2017-En-40928,Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,valence,0.703,over of social sharing is dark over of web traffic comes from
2017-En-31349,"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",valence,0.733,communitysleepcoach look at these make you if you are human find yourself in such odd positions seek …
2017-En-30077,"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay",valence,0.852,now that i have my future planned out i feel so much happier
